Sample	raw single	trimmed single	decontaminated SILVA_128_LSUParc_SSUParc_ribosomal_RNA_0 single	decontaminated SILVA_128_LSUParc_SSUParc_ribosomal_RNA_1 single	decontaminated hg37dec_v0.1_0 single	decontaminated hg37dec_v0.1_1 single	decontaminated human_hg38_refMrna_0 single	decontaminated human_hg38_refMrna_1 single	final single	ratio_final_raw
CSM67UGO	10565807	10429820	7986883	7986883	7984177	7984177	7984145	7984145	7984306	0.755674034174578
CSM79HI3	11715709	10363765	7870485	7870485	7863460	7863460	7863217	7863217	7864027	0.671237822653328
CSM79HP4	29287019	28205699	22372332	22372332	22364213	22364213	22364096	22364096	22364542	0.763633267011573
ESM5ME9U	12865938	11767372	4529019	4529019	4507029	4507029	4506887	4506887	4508515	0.350422565381552
HSM67VD2	11434589	11206906	8357203	8357203	8353756	8353756	8353724	8353724	8353885	0.730580259596563
HSM6XRVK	43160427	41711153	10962391	10962391	10961337	10961337	10961292	10961292	10961395	0.253968641227762
HSMA33OT	18854468	18241245	12446988	12446988	12295208	12295208	12291935	12291935	12305839	0.652674952165184
MSM6J2RS	4444707.5	4260179	1431969	1431969	1430840	1430840	1430818	1430818	1430818	0.321914996656135
MSM9VZMI	11890998	11557768	6864899	6864899	6859520	6859520	6859434	6859434	6859747	0.576885724814688
PSM7J154	6684403	6559639	3343014	3343014	3341418	3341418	3341392	3341392	3341551	0.499902683904606
PSM7J182	10254146	10070587	6420718	6420718	6416499	6416499	6416359	6416359	6416798	0.625775954428579
PSMA264U	25240231	24501534	13324279	13324279	13322997	13322997	13322920	13322920	13323106	0.527851983605063
